Nom_echantillons	Id	Couple	Type	Zone	Cross	pH_eau	pH_KCl	Pi	Azote_total	Calcaire_total	Carbone_total	Carbone_organique_total	C/N	Matiere_organique	Calcium	Magnesium	Manganese	Potassium	Argiles	Limons	Sables
NMRB2	61	5	Plante	Brule	Plante_Brule	8.2	7.5	5.59799532	3.276830018	416	88.11393738	38.2	12	66.1	48.84	0.8361	0.0381	0.5377	256	478	266
NMRHB2	62	5	Plante	Hors brule	Plante_Hors brule	8.19	7.51	6.71570738	3.650682569	414	92.96767235	43.3	12	74.9	48.78	0.9806	0.0444	0.5352	273	441	286
NMRB3	63	5	Plante	Brule	Plante_Brule	8.29	7.68	4.70372717	2.78344363	510	90.94497681	29.7	11	51.4	43.58	0.6902	0.0159	0.5146	222	444	334
NMRHB3	64	5	Plante	Hors brule	Plante_Hors brule	8.12	7.54	7.23784426	3.789343238	439	99.10282135	46.4	12	80.3	47.06	0.8316	0.0432	0.5673	266	458	276
NMRB4	65	5	Plante	Brule	Plante_Brule	8.25	7.53	4.913734	3.004422784	488	94.5737648	36	12	62.3	46.13	0.7479	0.0283	0.4803	218	444	338
NMRHB4	66	5	Plante	Hors brule	Plante_Hors brule	8.07	7.46	7.30428127	3.689669073	457	100.2358627	45.4	12	78.5	47.23	0.9238	0.0508	0.5915	248	429	323
SAB1	67	5	Spontane	Brule	Spontane_Brule	8.23	7.34	8.78131528	4.243294299	293	78.40808392	43.2	10.2	74.7	51.5	0.5488	0.0157	0.544	233	522	245
SAHB1	68	5	Spontane	Hors brule	Spontane_Hors brule	7.93	7.3	7.9910631	5.007408261	301	90.26945114	54.1	10.8	93.6	51.81	0.9197	0.0442	0.648	256	493	251
SAB2	69	5	Spontane	Brule	Spontane_Brule	8.37	7.42	4.10454958	1.952836066	192	46.37942314	23.3	11.9	40.3	47.61	0.4172	0.0113	0.354	236	536	228
SAHB2	70	5	Spontane	Hors brule	Spontane_Hors brule	8.19	7.41	4.73143705	2.705671489	216	61.2718153	35.4	13.1	61.2	48.38	0.6159	0.0521	0.4205	233	521	246
SAB3	71	5	Spontane	Brule	Spontane_Brule	8.35	7.24	4.63688992	1.937542558	145	41.73696518	24.3	12.5	42	48.6	0.401	0.0077	0.4059	251	554	195
SAHB3	72	5	Spontane	Hors brule	Spontane_Hors brule	8.31	7.4	3.45647036	2.27107957	173	49.78174686	29	12.8	50.2	48.58	0.538	0.0439	0.4607	219	532	249
SAB4	73	5	Spontane	Brule	Spontane_Brule	8.33	7.3	2.66952312	1.903646737	93	35.61573982	24.5	12.9	42.4	48.69	0.5001	0.0123	0.4502	302	564	134
SAHB4	74	5	Spontane	Hors brule	Spontane_Hors brule	7.95	7.25	5.04641292	2.830083668	103	51.81238174	39.5	14	68.3	49.55	0.7662	0.1061	0.5211	361	512	127
DPSB1	75	6	Spontane	Brule	Spontane_Brule	8.4	7.57	2.9367196	4.008832574	423	109.2395401	58.5	14.6	101	44.29	1.784	0.0102	0.1794	165	314	521
